Gene	g+t+	g+t-	g-t+	g-t-	sensitivity	specificity	odds_ratio	fisher_p	fisher_q	empirical_p	fq*ep	contrasting	supporting	opposing	best	worst	trait	__contingency_table__	__pattern_id__
blaYEM-1	0	4	91	9862	100.0	0.040543279951348	0.0	0.99999999998515									niche_E	(0, 4, 91, 9862)	18.0
dfrA17	0	4	91	9862	100.0	0.040543279951348	0.0	0.99999999998515									niche_E	(0, 4, 91, 9862)	41.0
qnrD1	0	4	91	9862	100.0	0.040543279951348	0.0	0.99999999998515									niche_E	(0, 4, 91, 9862)	29.0
aph(6)-Id	0	77	91	9789	100.0	0.7804581390634503	0.0	0.999999999986078									niche_E	(0, 77, 91, 9789)	48.0
aac(6')-Il	0	3	91	9863	100.0	0.030407459963511	0.0	0.9999999999883892									niche_E	(0, 3, 91, 9863)	11.0
aadA22	0	3	91	9863	100.0	0.030407459963511	0.0	0.9999999999883892									niche_E	(0, 3, 91, 9863)	32.0
blaCMY-2	0	3	91	9863	100.0	0.030407459963511	0.0	0.9999999999883892									niche_E	(0, 3, 91, 9863)	11.0
catB2	0	3	91	9863	100.0	0.030407459963511	0.0	0.9999999999883892									niche_E	(0, 3, 91, 9863)	17.0
dfrB1	0	3	91	9863	100.0	0.030407459963511	0.0	0.9999999999883892									niche_E	(0, 3, 91, 9863)	28.0
mph(A)	0	3	91	9863	100.0	0.030407459963511	0.0	0.9999999999883892									niche_E	(0, 3, 91, 9863)	11.0
mrx(A)	0	3	91	9863	100.0	0.030407459963511	0.0	0.9999999999883892									niche_E	(0, 3, 91, 9863)	11.0
tet(Y)	0	3	91	9863	100.0	0.030407459963511	0.0	0.9999999999883892									niche_E	(0, 3, 91, 9863)	13.0
dfrA14	0	21	91	9845	100.0	0.2128522197445773	0.0	0.9999999999895706									niche_E	(0, 21, 91, 9845)	34.0
sat2	0	36	91	9830	100.0	0.3648895195621325	0.0	0.999999999989708									niche_E	(0, 36, 91, 9830)	31.0
aph(3'')-Ib	0	75	91	9791	100.0	0.7601864990877761	0.0	0.9999999999900536									niche_E	(0, 75, 91, 9791)	47.0
blaYEM	0	16	91	9850	100.0	0.1621731198053922	0.0	0.9999999999921938									niche_E	(0, 16, 91, 9850)	20.0
qacEdelta1	0	96	91	9770	100.0	0.9730387188323536	0.0	0.9999999999948254									niche_E	(0, 96, 91, 9770)	54.0
sul1	0	96	91	9770	100.0	0.9730387188323536	0.0	0.9999999999948254									niche_E	(0, 96, 91, 9770)	51.0
catA1	0	74	91	9792	100.0	0.7500506790999392	0.0	0.999999999994972									niche_E	(0, 74, 91, 9792)	53.0
sul2	0	99	91	9767	100.0	1.0034461787958646	0.0	0.999999999996243									niche_E	(0, 99, 91, 9767)	49.0
qacK	0	30	91	9836	100.0	0.3040745996351105	0.0	0.9999999999962492									niche_E	(0, 30, 91, 9836)	46.0
aadA1	0	68	91	9798	100.0	0.6892357591729171	0.0	0.9999999999967756									niche_E	(0, 68, 91, 9798)	43.0
aadA13	0	2	91	9864	100.0	0.020271639975674	0.0	1.0									niche_E	(0, 2, 91, 9864)	27.0
aadA25	0	2	91	9864	100.0	0.020271639975674	0.0	1.0									niche_E	(0, 2, 91, 9864)	22.0
aadA31	0	2	91	9864	100.0	0.020271639975674	0.0	1.0									niche_E	(0, 2, 91, 9864)	24.0
dfrA12	0	2	91	9864	100.0	0.020271639975674	0.0	1.0									niche_E	(0, 2, 91, 9864)	9.0
estX	0	2	91	9864	100.0	0.020271639975674	0.0	1.0									niche_E	(0, 2, 91, 9864)	21.0
dfrA1	0	38	91	9828	100.0	0.3851611595378066	0.0	1.0									niche_E	(0, 38, 91, 9828)	33.0
aadA15	0	1	91	9865	100.0	0.010135819987837	0.0	1.0									niche_E	(0, 1, 91, 9865)	1.0
blaFONA	0	1	91	9865	100.0	0.010135819987837	0.0	1.0									niche_E	(0, 1, 91, 9865)	5.0
blaLAP-2	0	1	91	9865	100.0	0.010135819987837	0.0	1.0									niche_E	(0, 1, 91, 9865)	12.0
blaSHV-1	0	1	91	9865	100.0	0.010135819987837	0.0	1.0									niche_E	(0, 1, 91, 9865)	14.0
blaTEM-135	0	1	91	9865	100.0	0.010135819987837	0.0	1.0									niche_E	(0, 1, 91, 9865)	0.0
catB	0	1	91	9865	100.0	0.010135819987837	0.0	1.0									niche_E	(0, 1, 91, 9865)	7.0
lnu(G)	0	1	91	9865	100.0	0.010135819987837	0.0	1.0									niche_E	(0, 1, 91, 9865)	2.0
mph(B)	0	1	91	9865	100.0	0.010135819987837	0.0	1.0									niche_E	(0, 1, 91, 9865)	3.0
mph(E)	0	1	91	9865	100.0	0.010135819987837	0.0	1.0									niche_E	(0, 1, 91, 9865)	4.0
msr(E)	0	1	91	9865	100.0	0.010135819987837	0.0	1.0									niche_E	(0, 1, 91, 9865)	4.0
qacG2	0	1	91	9865	100.0	0.010135819987837	0.0	1.0									niche_E	(0, 1, 91, 9865)	10.0
qnrD	0	1	91	9865	100.0	0.010135819987837	0.0	1.0									niche_E	(0, 1, 91, 9865)	8.0
qnrS1	0	1	91	9865	100.0	0.010135819987837	0.0	1.0									niche_E	(0, 1, 91, 9865)	12.0
tet(59)	0	1	91	9865	100.0	0.010135819987837	0.0	1.0									niche_E	(0, 1, 91, 9865)	7.0
aadA12	0	70	91	9796	100.0	0.7095073991485911	0.0	1.0									niche_E	(0, 70, 91, 9796)	52.0
floR	0	37	91	9829	100.0	0.3750253395499696	0.0	1.0									niche_E	(0, 37, 91, 9829)	44.0
blaTEM-116	0	14	91	9852	100.0	0.1419014798297182	0.0	1.0									niche_E	(0, 14, 91, 9852)	40.0
tet(B)	0	14	91	9852	100.0	0.1419014798297182	0.0	1.0									niche_E	(0, 14, 91, 9852)	55.0
aph(3')-Ia	0	5	91	9861	100.0	0.050679099939185	0.0	1.0									niche_E	(0, 5, 91, 9861)	15.0
blaTEM-1	0	5	91	9861	100.0	0.050679099939185	0.0	1.0									niche_E	(0, 5, 91, 9861)	26.0
estX-3	0	5	91	9861	100.0	0.050679099939185	0.0	1.0									niche_E	(0, 5, 91, 9861)	36.0
mef(B)	0	5	91	9861	100.0	0.050679099939185	0.0	1.0									niche_E	(0, 5, 91, 9861)	35.0
qacE	0	5	91	9861	100.0	0.050679099939185	0.0	1.0									niche_E	(0, 5, 91, 9861)	50.0
qacL	0	5	91	9861	100.0	0.050679099939185	0.0	1.0									niche_E	(0, 5, 91, 9861)	36.0
tet(H)	0	5	91	9861	100.0	0.050679099939185	0.0	1.0									niche_E	(0, 5, 91, 9861)	25.0
sul3	0	7	91	9859	100.0	0.0709507399148591	0.0	1.0									niche_E	(0, 7, 91, 9859)	38.0
tet(A)	0	101	91	9765	100.0	1.0237178187715386	0.0	1.0									niche_E	(0, 101, 91, 9765)	45.0
tet(C)	0	46	91	9820	100.0	0.4662477194405027	0.0	1.0									niche_E	(0, 46, 91, 9820)	56.0
tet(D)	0	8	91	9858	100.0	0.0810865599026961	0.0	1.0									niche_E	(0, 8, 91, 9858)	16.0
blaA	696	4723	29	4509	96.0	48.84098786828423	22.912555579081094	3.305204374932456e-151	4.1645575124148954e-148	0.8243512974051896	3.4330583884777485e-148	5.0	5.0	2.0	0.0625	1.0	niche_F		
vat(F)	671	4615	54	4617	92.55172413793105	50.01083188908145	12.431310942578548	3.4683325559326803e-128	4.3700990204751767e-125	0.9441117764471058	4.125861949470576e-125	6.0	4.0	3.0	0.6875	1.0	niche_F		
blaYRC	1	215	724	9017	99.86206896551724	2.3288561525129983	0.0579275343697802	2.0062185958530225e-06	0.0025278354307748	0.9201596806387226	0.0023260122426889	3.0	1.0	3.0	0.25	1.0	niche_F		
vat(F)	3570	1716	385	4286	90.2654867256637	71.40953015661447	23.160203432930707	0.0	0.0	0.7425149700598802	0.0	7.0	5.0	4.0	0.453125	1.0	niche_H		
blaA	3599	1820	356	4182	90.99873577749683	69.67677440853049	23.22974749969132	0.0	0.0	0.6906187624750499	0.0	7.0	6.0	4.0	0.125	1.0	niche_H		
blaYRC	3	213	3952	5789	99.92414664981035	3.5488170609796734	0.0206313793693334	7.01373644972798e-43	8.837307926657255e-40	0.5349301397205589	4.727342363960369e-40	3.0	1.0	3.0	0.25	1.0	niche_H		
tet(C)	43	3	3912	5999	1.0872313527180784	99.95001666111295	21.97997614178596	1.7557408390364322e-14	2.2122334571859048e-11	0.9121756487025948	2.017945488890137e-11	3.0	2.0	2.0	1.0	1.0	niche_H		
qacK	27	3	3928	5999	0.6826801517067004	99.95001666111295	13.745162932790224	1.359603165718885e-08	1.713099988805795e-05	1.0	1.713099988805795e-05	1.0	1.0	1.0	1.0	1.0	niche_H		
sul1	62	34	3893	5968	1.5676359039190897	99.43352215928024	2.795485109019205	9.120617198250758e-07	0.0011491977669795	0.4271457085828343	0.0004908748944783	6.0	4.0	4.0	0.6875	0.6875	niche_H		
qacEdelta1	61	35	3894	5967	1.542351453855879	99.41686104631788	2.6706801672903366	2.702248114363901e-06	0.0034048326240985	0.1676646706586826	0.0005708701405674	4.0	2.0	4.0	0.125	1.0	niche_H		
catA1	48	26	3907	5976	1.213653603034134	99.566811062979	2.823807367446989	1.2998249238011833e-05	0.0163777940398949	0.0558882235528942	0.0009153258146049	5.0	5.0	1.0	0.0625	0.375	niche_H		
vat(F)	168	5118	3297	1374	95.15151515151516	78.8354898336414	0.0136797066927516	0.0	0.0	0.7724550898203593	0.0	7.0	5.0	4.0	0.453125	1.0	region_Asia_Central		
blaA	173	5246	3292	1246	95.007215007215	80.8071472581639	0.0124817658909478	0.0	0.0	0.718562874251497	0.0	7.0	6.0	3.0	0.125	1.0	region_Asia_Central		
blaYRC	6	210	3459	6282	99.82683982683984	3.234750462107209	0.0518894808573906	1.532245912271867e-31	1.9306298494625526e-28	0.6746506986027944	1.3025007766833186e-28	3.0	1.0	3.0	0.25	1.0	region_Asia_Central		
catA1	0	74	3465	6418	100.0	1.139864448552064	0.0	3.2701208305051085e-14	4.120352246436436e-11	0.2215568862275449	9.128924138811264e-12	3.0	0.0	3.0	0.25	0.25	region_Asia_Central		
sul1	3	93	3462	6399	99.91341991341992	1.432532347504621	0.0596243081567618	5.0476078018590033e-14	6.359985830342342e-11	0.217564870259481	1.3837094920305695e-11	5.0	1.0	4.0	0.375	0.375	region_Asia_Central		
qacEdelta1	3	93	3462	6399	99.91341991341992	1.432532347504621	0.0596243081567618	5.0476078018590033e-14	6.359985830342342e-11	0.5409181636726547	3.4402318563328834e-11	4.0	1.0	3.0	0.625	0.625	region_Asia_Central		
aadA12	0	70	3465	6422	100.0	1.0782501540357363	0.0	1.556918679024954e-13	1.9617175355714417e-10	0.6447105788423154	1.2647400478833847e-10	1.0	0.0	1.0	1.0	1.0	region_Asia_Central		
aadA1	2	66	3463	6426	99.94227994227994	1.0166358595194085	0.0562308035597091	2.1775941563787191e-10	2.743768637037187e-07	0.780439121756487	2.141344385392295e-07	6.0	2.0	4.0	0.6875	0.6875	region_Asia_Central		
tet(C)	0	46	3465	6446	100.0	0.7085643869377696	0.0	4.596399681591492e-09	5.79146359880528e-06	0.8423153692614771	4.878238799792072e-06	3.0	0.0	3.0	0.25	0.25	region_Asia_Central		
dfrA1	0	38	3465	6454	100.0	0.5853357979051139	0.0	1.1484587302832789e-07	0.0001447058000156	0.4131736526946107	5.978862395857979e-05	2.0	0.0	2.0	0.5	0.5	region_Asia_Central		
sat2	0	36	3465	6456	100.0	0.5545286506469501	0.0	3.586638891724238e-07	0.0004519165003572	0.4291417165668663	0.0001939362227082	4.0	0.0	4.0	0.125	0.125	region_Asia_Central		
qacK	0	30	3465	6462	100.0	0.4621072088724584	0.0	3.1127463204473263e-06	0.0039220603637636	1.0	0.0039220603637636	1.0	0.0	1.0	1.0	1.0	region_Asia_Central		
blaA	55	5364	18	4520	75.34246575342466	45.73047349251315	2.5747783577761205	0.0003349120171793									region_Asia_East	(55, 5364, 18, 4520)	59.0
vat(F)	54	5232	19	4652	73.97260273972603	47.06596519627681	2.527040077257364	0.0003472774219671									region_Asia_East	(54, 5232, 19, 4652)	58.0
blaTEM	2	7	71	9877	2.73972602739726	99.92917847025495	39.74647887323944	0.001846197334839									region_Asia_East	(2, 7, 71, 9877)	56.0
tet(C)	1	45	72	9839	1.36986301369863	99.54471873735328	3.0367283950617283	0.287704627676226									region_Asia_East	(1, 45, 72, 9839)	57.0
blaYRC	0	216	73	9668	100.0	2.185350060704168	0.0	0.4113045132826286									region_Asia_East	(0, 216, 73, 9668)	29.0
dfrA1	0	38	73	9846	100.0	0.3844597329016592	0.0	0.9999999999775364									region_Asia_East	(0, 38, 73, 9846)	33.0
dfrA14	0	21	73	9863	100.0	0.2124645892351275	0.0	0.9999999999809877									region_Asia_East	(0, 21, 73, 9863)	34.0
aac(3)-IVa	0	4	73	9880	100.0	0.0404694455685957	0.0	0.999999999984235									region_Asia_East	(0, 4, 73, 9880)	22.0
aadA5	0	4	73	9880	100.0	0.0404694455685957	0.0	0.999999999984235									region_Asia_East	(0, 4, 73, 9880)	41.0
aph(4)-Ia	0	4	73	9880	100.0	0.0404694455685957	0.0	0.999999999984235									region_Asia_East	(0, 4, 73, 9880)	22.0
blaYEM-1	0	4	73	9880	100.0	0.0404694455685957	0.0	0.999999999984235									region_Asia_East	(0, 4, 73, 9880)	18.0
dfrA17	0	4	73	9880	100.0	0.0404694455685957	0.0	0.999999999984235									region_Asia_East	(0, 4, 73, 9880)	41.0
qnrD1	0	4	73	9880	100.0	0.0404694455685957	0.0	0.999999999984235									region_Asia_East	(0, 4, 73, 9880)	28.0
cmlA1	0	6	73	9878	100.0	0.0607041683528935	0.0	0.9999999999861302									region_Asia_East	(0, 6, 73, 9878)	37.0
qnrB19	0	6	73	9878	100.0	0.0607041683528935	0.0	0.9999999999861302									region_Asia_East	(0, 6, 73, 9878)	6.0
aadA12	0	70	73	9814	100.0	0.708215297450425	0.0	0.999999999988763									region_Asia_East	(0, 70, 73, 9814)	52.0
aph(3')-Ia	0	5	73	9879	100.0	0.0505868069607446	0.0	0.9999999999894464									region_Asia_East	(0, 5, 73, 9879)	15.0
blaTEM-1	0	5	73	9879	100.0	0.0505868069607446	0.0	0.9999999999894464									region_Asia_East	(0, 5, 73, 9879)	25.0
estX-3	0	5	73	9879	100.0	0.0505868069607446	0.0	0.9999999999894464									region_Asia_East	(0, 5, 73, 9879)	36.0
mef(B)	0	5	73	9879	100.0	0.0505868069607446	0.0	0.9999999999894464									region_Asia_East	(0, 5, 73, 9879)	35.0
qacE	0	5	73	9879	100.0	0.0505868069607446	0.0	0.9999999999894464									region_Asia_East	(0, 5, 73, 9879)	50.0
qacL	0	5	73	9879	100.0	0.0505868069607446	0.0	0.9999999999894464									region_Asia_East	(0, 5, 73, 9879)	36.0
tet(H)	0	5	73	9879	100.0	0.0505868069607446	0.0	0.9999999999894464									region_Asia_East	(0, 5, 73, 9879)	24.0
aadA13	0	2	73	9882	100.0	0.0202347227842978	0.0	0.9999999999901554									region_Asia_East	(0, 2, 73, 9882)	26.0
aadA25	0	2	73	9882	100.0	0.0202347227842978	0.0	0.9999999999901554									region_Asia_East	(0, 2, 73, 9882)	21.0
aadA31	0	2	73	9882	100.0	0.0202347227842978	0.0	0.9999999999901554									region_Asia_East	(0, 2, 73, 9882)	23.0
dfrA12	0	2	73	9882	100.0	0.0202347227842978	0.0	0.9999999999901554									region_Asia_East	(0, 2, 73, 9882)	9.0
estX	0	2	73	9882	100.0	0.0202347227842978	0.0	0.9999999999901554									region_Asia_East	(0, 2, 73, 9882)	20.0
estX/sat2	0	10	73	9874	100.0	0.1011736139214892	0.0	0.9999999999909333									region_Asia_East	(0, 10, 73, 9874)	42.0
aadA15	0	1	73	9883	100.0	0.0101173613921489	0.0	0.9999999999930572									region_Asia_East	(0, 1, 73, 9883)	1.0
blaFONA	0	1	73	9883	100.0	0.0101173613921489	0.0	0.9999999999930572									region_Asia_East	(0, 1, 73, 9883)	5.0
blaLAP-2	0	1	73	9883	100.0	0.0101173613921489	0.0	0.9999999999930572									region_Asia_East	(0, 1, 73, 9883)	12.0
blaSHV-1	0	1	73	9883	100.0	0.0101173613921489	0.0	0.9999999999930572									region_Asia_East	(0, 1, 73, 9883)	14.0
blaTEM-135	0	1	73	9883	100.0	0.0101173613921489	0.0	0.9999999999930572									region_Asia_East	(0, 1, 73, 9883)	0.0
catB	0	1	73	9883	100.0	0.0101173613921489	0.0	0.9999999999930572									region_Asia_East	(0, 1, 73, 9883)	7.0
lnu(G)	0	1	73	9883	100.0	0.0101173613921489	0.0	0.9999999999930572									region_Asia_East	(0, 1, 73, 9883)	2.0
mph(B)	0	1	73	9883	100.0	0.0101173613921489	0.0	0.9999999999930572									region_Asia_East	(0, 1, 73, 9883)	3.0
mph(E)	0	1	73	9883	100.0	0.0101173613921489	0.0	0.9999999999930572									region_Asia_East	(0, 1, 73, 9883)	4.0
msr(E)	0	1	73	9883	100.0	0.0101173613921489	0.0	0.9999999999930572									region_Asia_East	(0, 1, 73, 9883)	4.0
qacG2	0	1	73	9883	100.0	0.0101173613921489	0.0	0.9999999999930572									region_Asia_East	(0, 1, 73, 9883)	10.0
qnrD	0	1	73	9883	100.0	0.0101173613921489	0.0	0.9999999999930572									region_Asia_East	(0, 1, 73, 9883)	8.0
qnrS1	0	1	73	9883	100.0	0.0101173613921489	0.0	0.9999999999930572									region_Asia_East	(0, 1, 73, 9883)	12.0
tet(59)	0	1	73	9883	100.0	0.0101173613921489	0.0	0.9999999999930572									region_Asia_East	(0, 1, 73, 9883)	7.0
floR	0	37	73	9847	100.0	0.3743423715095103	0.0	0.9999999999938172									region_Asia_East	(0, 37, 73, 9847)	44.0
aadA2	0	9	73	9875	100.0	0.0910562525293403	0.0	0.9999999999988308									region_Asia_East	(0, 9, 73, 9875)	39.0
tet(D)	0	8	73	9876	100.0	0.0809388911371914	0.0	1.0									region_Asia_East	(0, 8, 73, 9876)	16.0
catA1	0	74	73	9810	100.0	0.7486847430190205	0.0	1.0									region_Asia_East	(0, 74, 73, 9810)	53.0
aph(6)-Id	0	77	73	9807	100.0	0.7790368271954674	0.0	1.0									region_Asia_East	(0, 77, 73, 9807)	48.0
aph(3'')-Ib	0	75	73	9809	100.0	0.7588021044111696	0.0	1.0									region_Asia_East	(0, 75, 73, 9809)	47.0
blaTEM-116	0	14	73	9870	100.0	0.141643059490085	0.0	1.0									region_Asia_East	(0, 14, 73, 9870)	40.0
tet(B)	0	14	73	9870	100.0	0.141643059490085	0.0	1.0									region_Asia_East	(0, 14, 73, 9870)	55.0
aadA1	0	68	73	9816	100.0	0.6879805746661272	0.0	1.0									region_Asia_East	(0, 68, 73, 9816)	43.0
qacEdelta1	0	96	73	9788	100.0	0.9712666936462968	0.0	1.0									region_Asia_East	(0, 96, 73, 9788)	54.0
sul1	0	96	73	9788	100.0	0.9712666936462968	0.0	1.0									region_Asia_East	(0, 96, 73, 9788)	51.0
qacK	0	30	73	9854	100.0	0.3035208417644678	0.0	1.0									region_Asia_East	(0, 30, 73, 9854)	46.0
sat2	0	36	73	9848	100.0	0.3642250101173613	0.0	1.0									region_Asia_East	(0, 36, 73, 9848)	31.0
sul2	0	99	73	9785	100.0	1.001618777822744	0.0	1.0									region_Asia_East	(0, 99, 73, 9785)	49.0
sul3	0	7	73	9877	100.0	0.0708215297450425	0.0	1.0									region_Asia_East	(0, 7, 73, 9877)	38.0
tet(A)	0	101	73	9783	100.0	1.0218535006070415	0.0	1.0									region_Asia_East	(0, 101, 73, 9783)	45.0
aac(6')	0	23	73	9861	100.0	0.2326993120194253	0.0	1.0									region_Asia_East	(0, 23, 73, 9861)	30.0
blaYEM	0	16	73	9868	100.0	0.1618777822743828	0.0	1.0									region_Asia_East	(0, 16, 73, 9868)	19.0
aac(6')-Il	0	3	73	9881	100.0	0.0303520841764467	0.0	1.0									region_Asia_East	(0, 3, 73, 9881)	11.0
aadA22	0	3	73	9881	100.0	0.0303520841764467	0.0	1.0									region_Asia_East	(0, 3, 73, 9881)	32.0
blaCMY-2	0	3	73	9881	100.0	0.0303520841764467	0.0	1.0									region_Asia_East	(0, 3, 73, 9881)	11.0
catB2	0	3	73	9881	100.0	0.0303520841764467	0.0	1.0									region_Asia_East	(0, 3, 73, 9881)	17.0
dfrB1	0	3	73	9881	100.0	0.0303520841764467	0.0	1.0									region_Asia_East	(0, 3, 73, 9881)	27.0
mph(A)	0	3	73	9881	100.0	0.0303520841764467	0.0	1.0									region_Asia_East	(0, 3, 73, 9881)	11.0
mrx(A)	0	3	73	9881	100.0	0.0303520841764467	0.0	1.0									region_Asia_East	(0, 3, 73, 9881)	11.0
tet(Y)	0	3	73	9881	100.0	0.0303520841764467	0.0	1.0									region_Asia_East	(0, 3, 73, 9881)	13.0
vat(F)	2296	2990	286	4385	88.92331525948876	59.45762711864406	11.77346399419978	0.0	0.0	0.4590818363273453	0.0	7.0	6.0	3.0	0.125	1.0	region_Europe		
blaA	2360	3059	222	4316	91.4020139426801	58.52203389830508	14.998954495522002	0.0	0.0	0.4131736526946107	0.0	7.0	7.0	3.0	0.015625	1.0	region_Europe		
aadA12	60	10	2522	7365	2.323780015491866	99.86440677966102	17.5218080888184	8.959431480875017e-26	1.128888366590252e-22	0.2734530938123752	3.086980164129033e-23	2.0	2.0	1.0	0.5	1.0	region_Europe		
catA1	61	13	2521	7362	2.362509682416732	99.82372881355931	13.702804137552253	2.534407524143236e-24	3.193353480420477e-21	0.7365269461077845	2.3519908867767587e-21	5.0	3.0	4.0	0.375	1.0	region_Europe		
qacEdelta1	69	27	2513	7348	2.672347017815647	99.63389830508474	7.472432241234469	3.998789576179931e-21	5.038474865986713e-18	0.2934131736526946	1.4783549007984965e-18	6.0	3.0	5.0	0.21875	1.0	region_Europe		
sul1	68	28	2514	7347	2.6336173508907823	99.62033898305084	7.097340606887146	2.903085686034968e-20	3.6578879644040604e-17	0.0978043912175648	3.5775750550059675e-18	8.0	3.0	7.0	0.0703125	0.7265625	region_Europe		
qacK	21	9	2561	7366	0.8133230054221533	99.87796610169492	6.711180528439412	5.236429093547908e-07	0.000659790065787	1.0	0.000659790065787	1.0	1.0	1.0	1.0	1.0	region_Europe		
tet(C)	0	46	2582	7329	100.0	0.6237288135593221	0.0	1.5542731830672651e-06	0.0019583842106647	0.9021956087824352	0.0017668456351705	3.0	0.0	3.0	0.25	0.25	region_Europe		
blaA	1291	4128	85	4453	93.82267441860463	51.89371868080643	16.384014477884175	3.6893134566800114e-263	4.6485349554168154e-260	0.654690618762475	3.0433522263008282e-260	5.0	5.0	3.0	0.0625	1.0	region_North_America		
vat(F)	1268	4018	108	4563	92.15116279069768	53.17562055704463	13.33325037332006	4.121550575804714e-251	5.19315372551394e-248	0.6427145708582834	3.3377155680947874e-248	6.0	5.0	3.0	0.21875	1.0	region_North_America		
tet(C)	38	8	1338	8573	2.761627906976744	99.90677077263722	30.434790732436472	1.1812754566371548e-25	1.488407075362815e-22	0.1057884231536926	1.5745623751343152e-23	3.0	3.0	1.0	0.25	1.0	region_North_America		
blaYRC	58	158	1318	8423	4.215116279069767	98.15872275958512	2.345969151572194	3.685250657821144e-07	0.0004643415828854	0.5389221556886228	0.0002502439668245	3.0	2.0	2.0	1.0	1.0	region_North_America		
catA1	0	74	1376	8507	100.0	0.8623703531056987	0.0	2.601484481054593e-05	0.0327787044612878	0.5289421157684631	0.0173380372899027	4.0	0.0	4.0	0.125	0.125	region_North_America		
vat(F)	561	4725	55	4616	91.07142857142856	49.41655069050423	9.964698412698413	1.3258725882875672e-98	1.6705994612423346e-95	0.1497005988023952	2.500897397069363e-96	3.0	1.0	2.0	1.0	1.0	region_Oceania		
blaA	561	4858	55	4483	91.07142857142856	47.9927202654962	9.41263894606834	4.915542714657221e-93	6.1935838204681e-90	0.0039920159680638	2.472488551085069e-92	2.0	1.0	2.0	0.5	1.0	region_Oceania		
blaYRC	52	164	564	9177	8.441558441558442	98.244299325554	5.159185262065386	5.1093664513639096e-18	6.437801728718525e-15	0.940119760479042	6.052304619214422e-15	2.0	1.0	2.0	0.5	1.0	region_Oceania		
sat2	12	24	31	9890	27.906976744186046	99.75791809562236	159.51612903225808	9.096925048733372e-21	1.1462125561404049e-17	0.9740518962075848	1.1164705137655041e-17	2.0	1.0	2.0	0.5	1.0	region_South_America		
dfrA1	12	26	31	9888	27.906976744186046	99.73774460359088	147.21588089330024	1.956406294872526e-20	2.465071931539383e-17	0.908183632734531	2.2387379817373643e-17	2.0	1.0	2.0	0.5	1.0	region_South_America		
aadA1	12	56	31	9858	27.906976744186046	99.43514222311882	68.14285714285714	4.8248960977724335e-17	6.079369083193266e-14	0.9101796407185628	5.533317967936387e-14	3.0	1.0	3.0	0.25	1.0	region_South_America		
floR	9	28	34	9886	20.930232558139537	99.7175711115594	93.46008403361344	2.4363307357026238e-14	3.069776726985306e-11	0.0998003992015968	3.063649428129048e-12	2.0	1.0	1.0	1.0	1.0	region_South_America		
aph(3'')-Ib	9	66	34	9848	20.930232558139537	99.33427476296148	39.49732620320856	2.1872276956805385e-11	2.7559068965574785e-08	0.24750499001996	6.821007089283978e-09	2.0	1.0	1.0	1.0	1.0	region_South_America		
aph(6)-Id	9	68	34	9846	20.930232558139537	99.31410127093	38.32785467128028	2.7920812799322765e-11	3.5180224127146686e-08	0.2674650698602794	9.409481103867577e-09	1.0	1.0	1.0	1.0	1.0	region_South_America		
sul2	9	90	34	9824	20.930232558139537	99.0921928585838	28.894117647058824	2.7987550869792536e-10	3.52643140959386e-07	0.846307385229541	2.984444945444704e-07	4.0	1.0	3.0	0.625	0.625	region_South_America		
tet(A)	9	92	34	9822	20.930232558139537	99.07201936655235	28.26023017902813	3.355573122059942e-10	4.228022133795529e-07	0.8502994011976048	3.595084688616557e-07	4.0	1.0	3.0	0.625	0.625	region_South_America		
