Gene	g+t+	g+t-	g-t+	g-t-	sensitivity	specificity	odds_ratio	fisher_p	fisher_q	empirical_p	fq*ep	contrasting	supporting	opposing	best	worst	trait	__contingency_table__	__pattern_id__
aph(4)-Ia	0	4	266	9687	100.0	0.0412754101743886	0.0	0.9999999999890696									era_era_2010_14	(0, 4, 266, 9687)	22.0
blaYEM-1	0	4	266	9687	100.0	0.0412754101743886	0.0	0.9999999999890696									era_era_2010_14	(0, 4, 266, 9687)	17.0
qnrD1	0	4	266	9687	100.0	0.0412754101743886	0.0	0.9999999999890696									era_era_2010_14	(0, 4, 266, 9687)	28.0
qacK	0	30	266	9661	100.0	0.3095655763079145	0.0	0.9999999999914124									era_era_2010_14	(0, 30, 266, 9661)	43.0
aadA15	0	1	266	9690	100.0	0.0103188525435971	0.0	0.9999999999941472									era_era_2010_14	(0, 1, 266, 9690)	1.0
blaFONA	0	1	266	9690	100.0	0.0103188525435971	0.0	0.9999999999941472									era_era_2010_14	(0, 1, 266, 9690)	5.0
blaSHV-1	0	1	266	9690	100.0	0.0103188525435971	0.0	0.9999999999941472									era_era_2010_14	(0, 1, 266, 9690)	13.0
blaTEM-135	0	1	266	9690	100.0	0.0103188525435971	0.0	0.9999999999941472									era_era_2010_14	(0, 1, 266, 9690)	0.0
catB	0	1	266	9690	100.0	0.0103188525435971	0.0	0.9999999999941472									era_era_2010_14	(0, 1, 266, 9690)	7.0
lnu(G)	0	1	266	9690	100.0	0.0103188525435971	0.0	0.9999999999941472									era_era_2010_14	(0, 1, 266, 9690)	2.0
mph(B)	0	1	266	9690	100.0	0.0103188525435971	0.0	0.9999999999941472									era_era_2010_14	(0, 1, 266, 9690)	3.0
mph(E)	0	1	266	9690	100.0	0.0103188525435971	0.0	0.9999999999941472									era_era_2010_14	(0, 1, 266, 9690)	4.0
msr(E)	0	1	266	9690	100.0	0.0103188525435971	0.0	0.9999999999941472									era_era_2010_14	(0, 1, 266, 9690)	4.0
qacG2	0	1	266	9690	100.0	0.0103188525435971	0.0	0.9999999999941472									era_era_2010_14	(0, 1, 266, 9690)	10.0
qnrD	0	1	266	9690	100.0	0.0103188525435971	0.0	0.9999999999941472									era_era_2010_14	(0, 1, 266, 9690)	8.0
tet(59)	0	1	266	9690	100.0	0.0103188525435971	0.0	0.9999999999941472									era_era_2010_14	(0, 1, 266, 9690)	7.0
aph(3')-Ia	0	5	266	9686	100.0	0.0515942627179857	0.0	0.999999999997353									era_era_2010_14	(0, 5, 266, 9686)	14.0
blaTEM-1	0	5	266	9686	100.0	0.0515942627179857	0.0	0.999999999997353									era_era_2010_14	(0, 5, 266, 9686)	25.0
estX-3	0	5	266	9686	100.0	0.0515942627179857	0.0	0.999999999997353									era_era_2010_14	(0, 5, 266, 9686)	35.0
mef(B)	0	5	266	9686	100.0	0.0515942627179857	0.0	0.999999999997353									era_era_2010_14	(0, 5, 266, 9686)	34.0
qacL	0	5	266	9686	100.0	0.0515942627179857	0.0	0.999999999997353									era_era_2010_14	(0, 5, 266, 9686)	35.0
tet(H)	0	5	266	9686	100.0	0.0515942627179857	0.0	0.999999999997353									era_era_2010_14	(0, 5, 266, 9686)	24.0
cmlA1	0	6	266	9685	100.0	0.0619131152615829	0.0	0.9999999999974076									era_era_2010_14	(0, 6, 266, 9685)	36.0
qnrB19	0	6	266	9685	100.0	0.0619131152615829	0.0	0.9999999999974076									era_era_2010_14	(0, 6, 266, 9685)	6.0
sat2	0	36	266	9655	100.0	0.3714786915694975	0.0	0.999999999997537									era_era_2010_14	(0, 36, 266, 9655)	30.0
tet(D)	0	8	266	9683	100.0	0.0825508203487772	0.0	0.999999999999575									era_era_2010_14	(0, 8, 266, 9683)	15.0
aadA13	0	2	266	9689	100.0	0.0206377050871943	0.0	1.0									era_era_2010_14	(0, 2, 266, 9689)	26.0
aadA25	0	2	266	9689	100.0	0.0206377050871943	0.0	1.0									era_era_2010_14	(0, 2, 266, 9689)	21.0
aadA31	0	2	266	9689	100.0	0.0206377050871943	0.0	1.0									era_era_2010_14	(0, 2, 266, 9689)	23.0
dfrA12	0	2	266	9689	100.0	0.0206377050871943	0.0	1.0									era_era_2010_14	(0, 2, 266, 9689)	9.0
estX	0	2	266	9689	100.0	0.0206377050871943	0.0	1.0									era_era_2010_14	(0, 2, 266, 9689)	20.0
sul3	0	7	266	9684	100.0	0.07223196780518	0.0	1.0									era_era_2010_14	(0, 7, 266, 9684)	37.0
blaTEM-116	0	14	266	9677	100.0	0.1444639356103601	0.0	1.0									era_era_2010_14	(0, 14, 266, 9677)	39.0
aadA2	0	9	266	9682	100.0	0.0928696728923743	0.0	1.0									era_era_2010_14	(0, 9, 266, 9682)	38.0
blaTEM	0	9	266	9682	100.0	0.0928696728923743	0.0	1.0									era_era_2010_14	(0, 9, 266, 9682)	18.0
estX/sat2	0	10	266	9681	100.0	0.1031885254359715	0.0	1.0									era_era_2010_14	(0, 10, 266, 9681)	40.0
blaA	525	4894	189	4349	73.52941176470588	47.051823001190094	2.4684420832765746	1.893386902501137e-27	2.385667497151433e-24	0.8223552894211577	1.9618662850826154e-24	7.0	7.0	3.0	0.015625	1.0	era_era_2015_19		
vat(F)	510	4776	204	4467	71.42857142857143	48.328464784160985	2.338253768844221	4.285870152111882e-25	5.400196391660971e-22	0.8363273453093812	4.51633191238712e-22	7.0	5.0	4.0	0.453125	1.0	era_era_2015_19		
sul2	36	63	678	9180	5.042016806722689	99.31840311587146	7.737041719342605	4.5231529578416905e-17	5.69917272688053e-14	0.0578842315369261	3.298922336916874e-15	8.0	6.0	6.0	0.2890625	0.2890625	era_era_2015_19		
sul1	29	67	685	9176	4.061624649859944	99.2751271232284	5.798104368667611	1.142205086242463e-11	1.4391784086655034e-08	0.2534930139720558	3.6482167245612558e-09	7.0	4.0	4.0	1.0	1.0	era_era_2015_19		
qacEdelta1	29	67	685	9176	4.061624649859944	99.2751271232284	5.798104368667611	1.142205086242463e-11	1.4391784086655034e-08	0.2714570858283433	3.906751768034101e-09	5.0	3.0	3.0	1.0	1.0	era_era_2015_19		
tet(A)	27	74	687	9169	3.7815126050420167	99.199394136103	4.86964475392423	1.255973717626453e-09	1.5825268842093308e-06	0.0558882235528942	8.844461628315621e-08	12.0	8.0	5.0	0.3876953125	0.7744140625	era_era_2015_19		
floR	15	22	699	9221	2.100840336134454	99.76198204046304	8.99434256730394	1.2451122155544516e-08	1.568841391598609e-05	0.0878243512974051	1.3778247750566626e-06	6.0	4.0	4.0	0.6875	0.6875	era_era_2015_19		
dfrA1	15	23	699	9220	2.100840336134454	99.75116304230228	8.60235118492256	1.9221648453939e-08	2.4219277051963138e-05	0.1117764471057884	2.707144740339193e-06	4.0	3.0	3.0	0.625	0.625	era_era_2015_19		
aadA12	21	49	693	9194	2.941176470588235	99.46986909012226	5.685837971552258	9.320282858695836e-09	1.1743556401956754e-05	0.3313373253493014	3.891078568313016e-06	2.0	2.0	1.0	0.5	1.0	era_era_2015_19		
aph(3'')-Ib	22	53	692	9190	3.081232492997199	99.42659309747916	5.512596793543461	6.590182984078965e-09	8.303630559939495e-06	0.4790419161676646	3.977787094581794e-06	3.0	3.0	2.0	0.25	1.0	era_era_2015_19		
catA1	22	52	692	9191	3.081232492997199	99.43741209563994	5.619219653179191	4.9883303301382495e-09	6.285296215974195e-06	0.8043912175648703	5.055837075923355e-06	5.0	3.0	4.0	0.375	1.0	era_era_2015_19		
aph(6)-Id	22	55	692	9188	3.081232492997199	99.40495510115764	5.310982658959538	1.1317943203233556e-08	1.4260608436074285e-05	0.5548902195608783	7.913072146164972e-06	2.0	2.0	2.0	0.5	0.5	era_era_2015_19		
aadA1	20	48	694	9195	2.801120448179272	99.48068808828302	5.520533141210374	3.058866185387613e-08	3.8541713935883925e-05	0.2135728542914171	8.23146385457002e-06	8.0	5.0	7.0	0.0703125	0.7265625	era_era_2015_19		
sat2	14	22	700	9221	1.96078431372549	99.76198204046304	8.382727272727273	7.209449204646392e-08	9.083905997854453e-05	0.8682634730538922	7.88722377059219e-05	4.0	1.0	4.0	0.125	0.625	era_era_2015_19		
blaYRC	34	182	680	9061	4.761904761904762	98.0309423347398	2.4892857142857143	1.2087023678126272e-05	0.0152296498344391	0.9221556886227544	0.0140441082305606	3.0	2.0	3.0	0.25	1.0	era_era_2015_19		
vat(F)	3782	1504	281	4390	93.08392813192222	74.48252460128944	39.28546414780041	0.0	0.0	0.4011976047904191	0.0	7.0	6.0	4.0	0.125	1.0	era_era_2020plus		
blaA	3850	1569	213	4325	94.75756829928623	73.37970817780794	49.82465432065519	0.0	0.0	0.1996007984031936	0.0	7.0	7.0	4.0	0.015625	1.0	era_era_2020plus		
blaYRC	39	177	4024	5717	99.04011813930592	3.003053953172718	0.3130412440610574	5.953328383833524e-13	7.501193763630241e-10	0.5888223552894212	4.416870579383076e-10	3.0	2.0	3.0	0.25	1.0	era_era_2020plus		
vat(F)	113	5173	2521	2150	95.709946848899	70.64044790386454	0.0186295163157986	0.0	0.0	0.12375249500998	0.0	7.0	4.0	6.0	0.125	1.0	era_pre2000		
blaA	122	5297	2512	2026	95.36826119969628	72.33374300150211	0.0185758914131181	0.0	0.0	0.0199600798403193	0.0	6.0	4.0	6.0	0.03125	0.6875	era_pre2000		
tet(A)	3	98	2631	7225	99.88610478359908	1.3382493513587328	0.0840644125381053	3.966836288262961e-10	4.998213723211333e-07	0.4471057884231537	2.2347302874238293e-07	7.0	3.0	5.0	0.453125	1.0	era_pre2000		
sul2	3	96	2631	7227	99.88610478359908	1.3109381401065137	0.0858395096921322	6.236557343775774e-10	7.858062253157478e-07	0.6007984031936128	4.721111253893016e-07	8.0	3.0	6.0	0.2890625	0.7265625	era_pre2000		
qacEdelta1	3	93	2631	7230	99.88610478359908	1.269971323228185	0.0886453084194651	1.5398527218094724e-09	1.940214429479936e-06	0.2514970059880239	4.879581199889659e-07	4.0	3.0	2.0	0.625	1.0	era_pre2000		
aadA12	0	70	2634	7253	100.0	0.9558923938276664	0.0	5.748757634866101e-10	7.243434619931291e-07	0.7085828343313373	5.132573433284646e-07	1.0	0.0	1.0	1.0	1.0	era_pre2000		
sul1	3	93	2631	7230	99.88610478359908	1.269971323228185	0.0886453084194651	1.5398527218094724e-09	1.940214429479936e-06	0.4411177644710579	8.558630517266783e-07	5.0	3.0	3.0	1.0	1.0	era_pre2000		
catA1	1	73	2633	7250	99.96203492786636	0.9968592107059948	0.0377193575743071	5.4075700187246325e-09	6.813538223593037e-06	0.7584830339321357	5.167953143643421e-06	3.0	1.0	2.0	1.0	1.0	era_pre2000		
aadA1	2	66	2632	7257	99.92406985573272	0.9012699713232282	0.0835520862116606	5.021184520245467e-07	0.0006326692495509	0.2195608782435129	0.000138909416069	6.0	2.0	5.0	0.21875	0.6875	era_pre2000		
aph(6)-Id	3	74	2631	7249	99.88610478359908	1.0105148163321045	0.1116983574224167	3.348407169427173e-07	0.0004218993033478	0.8862275449101796	0.0003738987838052	2.0	2.0	2.0	0.5	0.5	era_pre2000		
aph(3'')-Ib	3	72	2631	7251	99.88610478359908	0.9832036050798854	0.1148327632079057	5.131959085145127e-07	0.0006466268447282	0.8083832335329342	0.0005227222996306	2.0	2.0	2.0	0.5	0.5	era_pre2000		
tet(C)	0	46	2634	7277	100.0	0.6281578588010378	0.0	8.966289522329743e-07	0.0011297524798135	0.9141716566866268	0.0010327876961169	3.0	0.0	3.0	0.25	0.25	era_pre2000		
floR	0	37	2634	7286	100.0	0.5052574081660521	0.0	1.6469091740856615e-05	0.0207510555934793	0.3053892215568862	0.0063371487141763	3.0	0.0	3.0	0.25	0.25	era_pre2000		
dfrA1	0	38	2634	7285	100.0	0.5189130137921617	0.0	1.8148668473802736e-05	0.0228673222769914	0.437125748502994	0.009995895366589	2.0	0.0	2.0	0.5	0.5	era_pre2000		
sat2	0	36	2634	7287	100.0	0.4916018025399427	0.0	2.7742941625715683e-05	0.0349561064484017	0.562874251497006	0.0196758922523938	4.0	0.0	4.0	0.125	0.125	era_pre2000		
blaYRC	162	54	1	9740	99.38650306748468	99.44864202573004	29220.0	5.277905784691199e-305	6.650161288710911e-302	0.0019960079840319	1.3273775027367086e-304	2.0	2.0	1.0	0.5	1.0	host_fish		
blaA	0	5419	163	4375	100.0	55.32979375127629	0.0	4.721622854623157e-57	5.949244796825177e-54	0.0479041916167664	2.849937627221642e-55	3.0	0.0	3.0	0.25	0.25	host_fish		
vat(F)	0	5286	163	4508	100.0	53.97181948131509	0.0	5.6994772808699256e-55	7.181341373896106e-52	0.0019960079840319	1.43340147183555e-54	3.0	0.0	3.0	0.25	0.25	host_fish		
vat(F)	2417	2869	329	4342	88.0189366351056	60.21356261267508	11.118341860004389	0.0	0.0	0.499001996007984	0.0	7.0	6.0	3.0	0.125	1.0	host_human		
blaA	2428	2991	318	4220	88.41951930080117	58.52170295382055	10.772527225281715	0.0	0.0	0.405189620758483	0.0	7.0	7.0	3.0	0.015625	1.0	host_human		
blaYRC	3	213	2743	6998	99.89075018208304	2.953820551934544	0.0359326942332082	3.4245275510443936e-26	4.3149047143159363e-23	0.7125748502994012	3.0746925808598584e-23	3.0	1.0	3.0	0.25	1.0	host_human		
qacK	27	3	2719	7208	0.9832483612527312	99.95839689363471	23.85877160720853	1.1596845926913112e-12	1.461202586791052e-09	1.0	1.461202586791052e-09	1.0	1.0	1.0	1.0	1.0	host_human		
